model,calibration,cosine_similarity,mean_absolute_error
attention,minmax,0.9997180104255676,0.0022235382348299026
attention,percentile_99.99,0.9991315007209778,0.004027860704809427
mlp,minmax,0.9996572136878967,0.00415387935936451
mlp,percentile_99.99,0.9998309016227722,0.0029143397696316242
