model,layer,cosine_similarity,max_absolute_error,mean_absolute_error,root_mean_squared_error
attention,out_proj,0.9997950792312622,0.012902677059173584,0.0017417942872270942,0.0025486424565315247
attention,v_proj,0.9999356269836426,0.005069434642791748,0.0011468224693089724,0.0014210238587111235
attention,q_proj,0.9999936819076538,0.0021594949066638947,0.0003582296194508672,0.00045118731213733554
attention,k_proj,0.9999936819076538,0.00205405056476593,0.0003547921369317919,0.0004463103541638702
mlp,fc2,0.9997349977493286,0.021319478750228882,0.0036646330263465643,0.00458004605025053
mlp,fc1,0.999920129776001,0.012820526957511902,0.0019989083521068096,0.002511495491489768
